Year,Age,Deposit,Income,Cost,Fund Value,Face Value,NCPI
1,30,58720.0,1926.23,23235.06,37411.17,10000000.0,
2,31,58720.0,3513.52,23351.88,76292.81,10000000.0,
3,32,58720.0,5163.42,23463.92,116712.31,10000000.0,
4,33,58720.0,6878.79,23570.79,158740.3,10000000.0,
5,34,58720.0,8664.88,23574.53,202550.65,10000000.0,
6,35,58720.0,10529.06,23475.74,248323.98,10000000.0,
7,36,58720.0,12476.78,23372.52,296148.24,10000000.0,
8,37,58720.0,14502.92,23651.04,345720.12,10000000.0,
9,38,58720.0,16605.72,23825.53,397220.31,10000000.0,
10,39,58720.0,18786.27,24183.64,450542.95,10000000.0,
11,40,58720.0,21044.5,24531.97,505775.49,10000000.0,
12,41,58720.0,23375.49,25248.13,562622.85,10000000.0,
13,42,58720.0,25784.02,25574.4,621552.47,10000000.0,
14,43,58720.0,28274.9,26169.35,682378.03,10000000.0,
15,44,58720.0,30844.58,26842.19,745100.42,10000000.0,
16,45,58720.0,33486.83,27866.76,809440.48,10000000.0,
17,46,58720.0,36192.04,29144.21,875208.32,10000000.0,
18,47,58720.0,38954.36,30577.82,942304.86,10000000.0,
19,48,58720.0,41765.55,32343.43,1010446.99,10000000.0,
20,49,58720.0,44611.73,34522.45,1079256.26,10000000.0,
21,50,0.0,45070.8,34861.93,1089465.14,10000000.0,
22,51,0.0,45444.4,37498.11,1097411.43,10000000.0,
23,52,0.0,45707.46,40763.6,1102355.29,10000000.0,
24,53,0.0,45842.69,44039.28,1104158.7,10000000.0,
25,54,0.0,45840.06,47507.84,1102490.92,10000000.0,
26,55,0.0,45685.38,51174.95,1097001.35,10000000.0,
27,56,0.0,45365.62,54958.32,1087408.65,10000000.0,
28,57,0.0,44846.21,59849.15,1072405.7,10000000.0,
29,58,0.0,44071.08,65869.28,1050607.5,10000000.0,
30,59,0.0,43005.38,71969.19,1021643.69,10000000.0,
31,60,0.0,41632.97,78166.03,985110.63,10000000.0,
32,61,0.0,39925.92,84932.04,940104.5,10000000.0,
33,62,0.0,37759.68,96042.76,881821.43,10000000.0,
34,63,0.0,35025.02,107341.28,809505.17,10000000.0,
35,64,0.0,31677.94,119347.53,721835.58,10000000.0,
36,65,0.0,27660.51,132143.29,617352.8,10000000.0,
37,66,0.0,22925.86,145062.8,495215.86,10000000.0,
38,67,0.0,17414.87,159133.35,353497.37,10000000.0,
39,68,0.0,11020.4,175465.08,189052.7,10000000.0,
40,69,0.0,3640.05,192687.43,5.31,10000000.0,
41,70,0.0,0.23,0.0,5.54,10000000.0,
42,71,0.0,0.24,0.0,5.78,10000000.0,
43,72,0.0,0.25,0.0,6.02,10000000.0,
44,73,0.0,0.26,0.0,6.28,10000000.0,
45,74,0.0,0.27,0.0,6.54,10000000.0,
46,75,0.0,0.28,0.0,6.82,10000000.0,
47,76,0.0,0.29,0.0,7.11,10000000.0,
48,77,0.0,0.3,0.0,7.41,10000000.0,
49,78,0.0,0.32,0.0,7.73,10000000.0,
50,79,0.0,0.33,0.0,8.06,10000000.0,
51,80,0.0,0.34,0.0,8.4,10000000.0,
52,81,0.0,0.36,0.0,8.76,10000000.0,
53,82,0.0,0.37,0.0,9.13,10000000.0,
54,83,0.0,0.39,0.0,9.52,10000000.0,
55,84,0.0,0.4,0.0,9.92,10000000.0,
56,85,0.0,0.42,0.0,10.34,10000000.0,
57,86,0.0,0.44,0.0,10.78,10000000.0,
58,87,0.0,0.46,0.0,11.24,10000000.0,
59,88,0.0,0.48,0.0,11.72,10000000.0,
60,89,0.0,0.5,0.0,12.22,10000000.0,
61,90,0.0,0.52,0.0,12.74,10000000.0,
62,91,0.0,0.54,0.0,13.28,10000000.0,
63,92,0.0,0.56,0.0,13.84,10000000.0,
64,93,0.0,0.59,0.0,14.43,10000000.0,
65,94,0.0,0.61,0.0,15.04,10000000.0,
66,95,0.0,0.64,0.0,15.68,10000000.0,
67,96,0.0,0.67,0.0,16.35,10000000.0,
68,97,0.0,0.69,0.0,17.04,10000000.0,
69,98,0.0,0.72,0.0,17.77,10000000.0,
70,99,0.0,0.76,0.0,18.52,10000000.0,
