Year,Age,Deposit,Gross income,Tax,Accrued RTax deferred,Fund Value before deferred,Net Fund Value After Tax,After-Tax IRR
1,31,61569.0,3509.43,-992.88,-229.76,64085.55,63855.8,3.71%
2,32,61569.0,7194.69,-2021.23,-475.6,130828.01,130122.66,3.73%
3,33,61569.0,11066.39,-3086.84,-738.65,200376.55,198932.55,3.76%
4,34,61569.0,15135.81,-4191.6,-1020.11,272889.77,270425.66,3.78%
5,35,61569.0,19414.99,-5337.48,-1321.27,348536.28,344750.9,3.80%
6,36,61569.0,23916.72,-6526.61,-1643.52,427495.39,422066.49,3.82%
7,37,61569.0,28654.6,-7761.22,-1988.32,509957.76,502540.54,3.84%
8,38,61569.0,33643.13,-9043.68,-2357.26,596126.22,586351.73,3.86%
9,39,61569.0,38897.75,-10376.49,-2752.03,686216.47,673689.96,3.88%
10,40,61569.0,44434.86,-11762.32,-3174.43,780458.01,764757.08,3.91%
11,41,61569.0,50271.96,-13203.96,-3626.39,879095.01,859767.68,3.93%
12,42,61569.0,56427.66,-14704.41,-4110.0,982387.26,958949.93,3.95%
13,43,61569.0,62921.78,-16266.83,-4627.45,1090611.22,1062546.43,3.97%
14,44,61569.0,69775.42,-17894.55,-5181.13,1204061.09,1170815.17,4.00%
15,45,61569.0,77011.05,-19591.13,-5773.57,1323050.01,1284030.53,4.02%
16,46,0.0,81143.17,-20367.45,-6177.72,1383825.74,1338628.54,4.04%
17,47,0.0,85530.87,-21184.89,-6610.16,1448171.72,1396364.36,4.07%
18,48,0.0,90190.66,-22045.9,-7072.87,1516316.48,1457436.25,4.09%
19,49,0.0,95140.16,-22953.08,-7567.97,1588503.57,1522055.36,4.12%
20,50,0.0,100398.13,-23909.18,-8097.73,1664992.52,1590446.58,4.15%
21,51,0.0,105984.56,-24917.12,-8664.57,1746059.96,1662849.45,4.17%
22,52,0.0,111920.75,-25980.02,-9271.09,1832000.69,1739519.09,4.20%
23,53,0.0,118229.41,-27101.16,-9920.07,1923128.93,1820727.27,4.23%
24,54,0.0,124934.73,-28284.06,-10614.47,2019779.61,1906763.47,4.26%
25,55,0.0,132062.5,-29532.42,-11357.49,2122309.69,1997936.06,4.29%
26,56,0.0,139640.2,-30850.19,-12152.51,2231099.7,2094573.56,4.31%
27,57,0.0,147697.1,-32241.56,-13003.18,2346555.24,2197025.92,4.34%
28,58,0.0,156264.44,-33710.99,-13913.41,2469108.69,2305665.96,4.37%
29,59,0.0,165375.46,-35263.18,-14887.35,2599220.96,2420890.89,4.40%
30,60,0.0,175065.62,-36903.17,-15929.46,2737383.41,2543123.88,4.42%
31,61,0.0,185372.72,-38636.28,-17044.52,2884119.86,2672815.8,4.45%
32,62,0.0,196337.04,-40468.15,-18237.64,3039988.74,2810447.05,4.48%
33,63,0.0,208001.49,-42404.81,-19514.27,3205585.42,2956529.45,4.50%
34,64,0.0,220411.84,-44452.62,-20880.27,3381544.64,3111608.4,4.53%
35,65,0.0,233616.87,-46618.36,-22341.89,3568543.15,3276265.01,4.56%
36,66,0.0,247668.56,-48909.23,-23905.83,3767302.48,3451118.52,4.58%
37,67,0.0,262622.35,-51332.86,-25579.23,3978591.97,3636828.77,4.61%
38,68,0.0,278537.29,-53897.36,-27369.78,4203231.89,3834098.92,4.63%
39,69,0.0,295476.37,-56611.36,-29285.66,4442096.9,4043678.26,4.66%
40,70,0.0,313506.71,-59483.99,-31335.66,4696119.63,4266365.33,4.68%
41,71,0.0,332699.88,-62524.98,-33529.16,4966294.53,4503011.07,4.71%
42,72,0.0,353132.17,-65744.65,-35876.2,5253682.04,4754522.39,4.73%
43,73,0.0,374884.89,-69153.96,-38387.53,5559412.97,5021865.79,4.76%
44,74,0.0,398044.76,-72764.55,-41074.66,5884693.18,5306071.33,4.78%
45,75,0.0,422704.2,-76588.79,-43949.88,6230808.59,5608236.86,4.80%
46,76,0.0,448961.75,-80639.8,-47026.38,6599130.53,5929532.43,4.83%
47,77,0.0,476922.47,-84931.54,-50318.22,6991121.45,6271205.12,4.85%
48,78,0.0,506698.36,-89478.82,-53840.5,7408340.98,6634584.16,4.87%
49,79,0.0,538408.83,-94297.38,-57609.33,7852452.44,7021086.28,4.90%
50,80,0.0,572181.21,-99403.92,-61641.99,8325229.73,7432221.58,4.92%
51,81,0.0,608151.24,-104816.2,-65956.93,8828564.76,7869599.69,4.94%
52,82,0.0,646463.64,-110553.08,-70573.91,9364475.33,8334936.35,4.96%
53,83,0.0,687272.74,-116634.57,-75514.08,9935113.5,8830060.43,4.98%
54,84,0.0,730743.06,-123081.96,-80800.07,10542774.61,9356921.47,5.00%
55,85,0.0,777050.05,-129917.83,-86456.08,11189906.83,9917597.62,5.02%
